Date,Cases
06-03-20,2
07-03-20,5
08-03-20,3
09-03-20,2
10-03-20,1
11-03-20,9
12-03-20,1
13-03-20,3
14-03-20,1
15-03-20,8
16-03-20,6
17-03-20,9
18-03-20,19
19-03-20,18
20-03-20,26
21-03-20,4
22-03-20,17
23-03-20,24
24-03-20,19
25-03-20,24
26-03-20,30
27-03-20,32
28-03-20,32
29-03-20,19
30-03-20,16
31-03-20,17
01-04-20,28
02-04-20,21
03-04-20,20
04-04-20,19
05-04-20,19
06-04-20,13
07-04-20,16
08-04-20,19
09-04-20,37
10-04-20,19
11-04-20,19
12-04-20,18
13-04-20,17
14-04-20,6
15-04-20,8
16-04-20,16
17-04-20,7
18-04-20,6
19-04-20,5
20-04-20,2
21-04-20,7
22-04-20,12
23-04-20,5
24-04-20,1
25-04-20,6
26-04-20,2
27-04-20,2
28-04-20,8
29-04-20,8
30-04-20,6
01-05-20,6
02-05-20,8
03-05-20,6
04-05-20,3
05-05-20,13
06-05-20,6
07-05-20,4
08-05-20,8
09-05-20,7
10-05-20,12
11-05-20,9
12-05-20,3
13-05-20,11
14-05-20,15
15-05-20,13
16-05-20,10
17-05-20,10
18-05-20,3
19-05-20,16
20-05-20,15
21-05-20,6
22-05-20,8
23-05-20,7
24-05-20,12
25-05-20,21
26-05-20,5
27-05-20,28
28-05-20,16
29-05-20,22
30-05-20,25
31-05-20,9
01-06-20,28
02-06-20,21
03-06-20,52
04-06-20,37
05-06-20,34
06-06-20,35
07-06-20,55
08-06-20,24
09-06-20,33
10-06-20,86
11-06-20,77
12-06-20,74
13-06-20,50
14-06-20,53
15-06-20,29
16-06-20,52
17-06-20,75
18-06-20,68
19-06-20,119
20-06-20,69
21-06-20,86
22-06-20,64
23-06-20,91
24-06-20,147
25-06-20,169
26-06-20,152
27-06-20,143
28-06-20,151
29-06-20,139
30-06-20,190
01-07-20,294
02-07-20,270
03-07-20,288
04-07-20,310
05-07-20,375
06-07-20,245
07-07-20,245
08-07-20,350
09-07-20,649
10-07-20,360
11-07-20,386
12-07-20,365
13-07-20,440
14-07-20,446
15-07-20,504
16-07-20,560
17-07-20,423
18-07-20,582
19-07-20,563
20-07-20,420
21-07-20,277
22-07-20,550
23-07-20,768
24-07-20,540
25-07-20,931
26-07-20,629
27-07-20,612
28-07-20,503
29-07-20,456
30-07-20,490
31-07-20,530
01-08-20,367
02-08-20,828
03-08-20,449
04-08-20,541
05-08-20,678
06-08-20,762
07-08-20,636
08-08-20,721
09-08-20,484
10-08-20,586
11-08-20,752
12-08-20,679
13-08-20,826
14-08-20,802
15-08-20,806
16-08-20,728
17-08-20,619
18-08-20,559
19-08-20,766
20-08-20,666
21-08-20,1059
22-08-20,950
23-08-20,736
24-08-20,643
25-08-20,842
26-08-20,1002
27-08-20,985
28-08-20,1193
29-08-20,1214
30-08-20,847
31-08-20,741
01-09-20,897
02-09-20,1121
03-09-20,1153
04-09-20,1222
05-09-20,1240
06-09-20,1027
